Lfd_Nr;Glaeubiger;Angemeldeter_Betrag_EUR;Grund;Status_Pruefungstermin
1;Finanzamt Berlin Charlottenburg;18420.50;Umsatzsteuer 2025;festgestellt
2;Berliner Sparkasse;142000.00;Kontokorrentkredit;festgestellt
3;Deutsche Rentenversicherung Bund;9840.30;Sozialversicherungsbeitraege;festgestellt
4;Reinigungsservice Nord GmbH;4120.00;Dienstleistungsrechnungen;festgestellt
5;IT-Systemhaus Bergmann;6780.00;Wartungsvertrag;bestritten
6;Unterkunde Coworkzone e.V.;3200.00;Deposit-Rueckforderung;festgestellt
7;Unterkunde Studio Nordlicht GbR;4800.00;Deposit-Rueckforderung;festgestellt
8;Unterkunde Freelance Base UG;2600.00;Deposit-Rueckforderung;bestritten
9;Getraenke Schmidt KG;1140.00;Lieferantenrechnung;festgestellt
10;Facility Management Rausch;3980.00;Wartungsvertrag;festgestellt
11;Personal - 6 ehemalige Beschaeftigte;28400.00;Lohnrueckstaende;festgestellt
12;Versicherung Nordstern AG;2140.00;Betriebshaftpflicht Restpraemie;festgestellt
13;Buerobedarf Klaas GmbH;890.00;Lieferantenrechnung;festgestellt
14;WVB Grundbesitz Charlottenburg GmbH & Co. KG;63540.00;Kaution/Nutzungsentschaedigung/Instandsetzung;teilweise bestritten (14200 EUR)
